guid,episode,title,source_folder,event_date,youtube_video_id,transcript_path,transcript_origin,transcript_sha256,has_timestamps,transcript_bytes,source_commit,source_updated_at
aitw-014,10,S02E10 – Implementing Decaying-Resolution Memory,2025-07-15-decaying-resolution-memory,2025-07-15T18:00:00Z,CEGSDlCtI8U,knowledge/episodes/aitw-014/transcripts/stitched.txt,youtube_captions,3aa34c7636c62d5071bca08bb08c34d0f26e69b9a5d71e6c8bca992580a0f217,True,115374,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-015,11,"S02E11 – PDFs, Multimodality, Vision Models",2025-07-22-multimodality,2025-07-22T18:00:00Z,sCScFZB4Am8,knowledge/episodes/aitw-015/transcripts/stitched.txt,youtube_captions,a4178690672f415878d40591389f7993e93bbd40d3be826b15a23d62ff4355c7,True,16593,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-016,12,S02E12 – Evaluating Prompts Across Models,2025-07-29-eval-many-models-same-prompt,2025-07-29T18:00:00Z,OawyQOrlubM,knowledge/episodes/aitw-016/transcripts/stitched.txt,youtube_captions,c426cc3d2a64a7b5c9ef99dff52d2d1461b266ac7fd01726f8da5a240f9b0717,True,106573,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-017,13,S02E13 – Context Engineering for Coding Agents,2025-08-05-advanced-context-engineering-for-coding-agents,2025-08-05T18:00:00Z,42AzKZRNhsk,knowledge/episodes/aitw-017/transcripts/stitched.txt,youtube_captions,13d0170fd701ae44b53a36675f64276a168fe994a23f573c20bc11ab592eb292,True,111842,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-018,14,S02E14 – Decoding Context Engineering Lessons from Manus,2025-08-12-manus-context-engineering,2025-08-12T18:00:00Z,OaUOHEHtlOU,knowledge/episodes/aitw-018/transcripts/stitched.txt,youtube_captions,6e1e79076591415f11e867fd53258b3145bebe86de49dade4b9cff7682ba04f8,True,113095,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-019,15,S02E15 – Interruptible Agents,2025-08-19-interruptible-agents,2025-08-19T18:00:00Z,2ivXNdHJpxk,knowledge/episodes/aitw-019/transcripts/stitched.txt,youtube_captions,91b684c981da7f35e1f7f6b303013dc77aa2c23129bdc6acb6f703e2a2da411c,True,79797,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-020,16,Claude for Non-Code Tasks,2025-08-26-claude-for-non-code-workflows,2025-08-26T18:00:00Z,NJcph4j9sNg,knowledge/episodes/aitw-020/transcripts/stitched.txt,youtube_captions,b6ecde3d7b9bb424b217c49a53edde053919e9a6304e65425c646e62256c607f,True,94754,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-021,21,Voice Agents and Supervisor Threading,2025-09-02-voice-agent-supervisor-threading,2025-09-02T18:00:00Z,UCqD_KUyUJA,knowledge/episodes/aitw-021/transcripts/stitched.txt,youtube_captions,30b1ac8218e25e7202904c1c940a3f22352987e1b1115e823a6b7be3be85740a,True,76427,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-022,22,Generative UIs and Structured Streaming,2025-09-09-generative-uis,2025-09-09T18:00:00Z,RX8D5oJrV9k,knowledge/episodes/aitw-022/transcripts/stitched.txt,youtube_captions,f6aafd62b0b9f38a5bedbba3e5eca75514051f2823e106b7c897455f1c86bd98,True,75788,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-023,23,Bash vs. MCP - token efficient coding agent tooling,2025-09-16-coding-agent-tools-bash-vs-mcp,2025-09-16T18:00:00Z,RtXpXIY4sLk,knowledge/episodes/aitw-023/transcripts/stitched.txt,youtube_captions,8167b5675d853bef875e15842dd0295b6831759fd2c063f45f73b03a3fedbd8f,True,77885,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-024,24,Evals for Classification,2025-09-23-evals-for-classification,2025-09-23T18:00:00Z,5Fy0hBzyduU,knowledge/episodes/aitw-024/transcripts/stitched.txt,youtube_captions,281c76db7a65130991783c97fbae74679b796443204a0e7dce0afc22fea5c4ad,True,108815,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-025,25,Dynamic Schemas,2025-09-30-dyanmic-schemas,2025-09-30T18:00:00Z,bak7-C--azc,knowledge/episodes/aitw-025/transcripts/stitched.txt,youtube_captions,69fc5364530a29104c0bd64de0064ae809aed0fcbd27a4008be69dcba9d6a264,True,91267,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-026,26,Anthropic Post Mortem,2025-10-07-anthropic-post-mortem,2025-10-07T18:00:00Z,bLx-UlRTiEw,knowledge/episodes/aitw-026/transcripts/stitched.txt,youtube_captions,73f1bd14d4eeb0c6ce4a7b386ba06d107af9c85f0df5612eef40f919691490f8,True,85917,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-unconference-sf,,Unconference SF,2025-10-12-unconference-sf,2025-10-12T18:00:00Z,,,,,False,0,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-027,27,No Vibes Allowed - Live Coding with AI Agents,2025-10-14-no-vibes-allowed,2025-10-14T17:00:00Z,zNZs19fIDHk,knowledge/episodes/aitw-027/transcripts/stitched.txt,youtube_captions,4fdeede3e102113ae9b968c35d60949024148598d5b654756b2f705d38ef4877,True,192625,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-028,28,Agentic RAG + Context Engineering,2025-10-21-agentic-rag-context-engineering,2025-10-21T18:00:00Z,grGSFfyejA0,knowledge/episodes/aitw-028/transcripts/stitched.txt,youtube_captions,e3eaaf38cf42d8962f8b6ae21f67010cd3da7c04fa27b0c823db657ee0bad33a,True,127484,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-029,29,Ralph Wiggum under the hood: Coding Agent Power Tools,2025-10-28-ralph-wiggum-coding-agent-power-tools,2025-10-28T18:00:00Z,fOPvAPdqgPo,knowledge/episodes/aitw-029/transcripts/stitched.txt,youtube_captions,1cf7ce685b3342fa320eb7d8b4581c7f828110826156c8b9aa25419b48f0bade,True,103675,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-030,30,Event-driven agentic loops,2025-11-05-event-driven-agents,2025-11-04T18:00:00.000Z,_VB9TT1Vus4,knowledge/episodes/aitw-030/transcripts/stitched.txt,youtube_captions,278b122ba7acbe8ea8385159f59156bc341d63644e5ba7d6d54f721a6a5f1d05,True,81680,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-031,31,"Dates, Times, and LLMs",2025-11-11-dates-and-times,2025-11-11T18:00:00Z,l7txtbgCFGU,knowledge/episodes/aitw-031/transcripts/stitched.txt,youtube_captions,47ae11b71c3911aa65f12f1b983fe1eab0339a684a168eb9ed4356e99f1952e9,True,75576,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-032,32,Building an Animation Pipeline,2025-11-18-building-an-animation-pipeline,2025-11-18T18:00:00Z,WhtT7K5Pkv0,2025-11-18-building-an-animation-pipeline/transcript.md,upstream,ff44a14510c61bef2fca0b043d4cbd021ef6f700cda1d126c3f2ad08fdbf2890,True,58119,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-033,33,No Vibes Allowed: Using CodeLayer to Build CodeLayer,2025-11-25-no-vibes-allowed-using-codelayer-to-build-codelayer,2025-11-25T18:00:00Z,fF3GssyaTcc,knowledge/episodes/aitw-033/transcripts/stitched.txt,youtube_captions,a9ae09c8226f6a9646eee7011ca8fa8e03a5ac18c7b14cfb1c37d6eba9a33179,True,183539,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-035,35,Multimodal Evals,2025-12-02-multimodal-evals,2025-12-02T17:00:00Z,jzhVo0iAX_I,2025-12-02-multimodal-evals/transcript.md,upstream,bc77964c4e225a1085b7442d898de95bd0b589416bded94a7b070f8b5c13e60f,True,71812,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-034,34,Git Worktrees for AI Coding Agents,2025-12-09-git-worktrees,2025-12-09T18:00:00Z,OpM-G3WNH4g,2025-12-09-git-worktrees/transcript.md,upstream,c60cb09254a443d201c664393a1b5fff77c76cb9dfc73812d160ef954563d700,True,61523,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-036,36,Building a Prompt Optimizer,2025-12-16-prompt-optimizer,2025-12-16T18:00:00Z,IkSEXg6f4KY,2025-12-16-prompt-optimizer/transcript.md,upstream,3bf4cc761af42aaf4254245de181350f9e096e49f46588249b1d63ec6bcc90d6,True,68428,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-037,37,Founding HumanLayer: Dex's Journey,2025-12-23-founding-humanlayer,2025-12-23T18:00:00Z,LEOA19Ss9lc,2025-12-23-founding-humanlayer/transcript.md,upstream,ae648769ab360368cf07939c5615f19fb3338d22410a15ffa04ea6cd471d7ac1,True,70125,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-038,38,Founding Boundary: Vaibhav's Journey,2025-12-30-founding-boundary,2025-12-30T18:00:00Z,4YTl9w_bESE,2025-12-30-founding-boundary/transcript.md,upstream,f244907eb46b26471e9a0f473d608cb26497f963fee90da8be41fb80b7d46119,True,90226,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-039,39,Understanding Latency in AI Applications,2026-01-06-latency,2026-01-06T18:00:00Z,wadVIkJnjQE,2026-01-06-latency/transcript.md,upstream,2f6b274d2f189aaca1ff9349de220dc6f302ddf2cede2eaa563999fee11ae679,True,78753,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-040,40,Applying 12-Factor Principles to Coding Agent SDKs,2026-01-13-applying-12-factor-principles-to-coding-agent-sdks,2026-01-13T18:00:00Z,qgAny0sEdIk,2026-01-13-applying-12-factor-principles-to-coding-agent-sdks/transcript.md,upstream,9efa44f4d6992aa2732577f30ba2eb900c3282a14d21e0528e80e2ee3585f578,True,82236,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-041,41,Email is All You Need,2026-01-20-email-is-all-you-need,2026-01-20T18:00:00Z,zpfXzk-3Yxw,2026-01-20-email-is-all-you-need/transcript.txt,upstream,2c02a7c09d5fff6f2e10bef06287788e730c603e49890b2ec702a005046793ff,True,72954,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-042,42,No Vibes Allowed,2026-01-27-no-vibes-allowed,2026-01-27T18:00:00Z,Xq8VxnGVStg,2026-01-27-no-vibes-allowed/transcript.txt,upstream,8ab5ee5e1015cec9ae0b06eb19a1fc357317824240b813dd2aff8fb7bb212a5d,True,112648,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-043,43,Prompting Is Becoming a Product Surface,2026-02-03-prompting-is-becoming-a-product-surface,2026-02-03T18:00:00Z,qdfwmYTO0Aw,2026-02-03-prompting-is-becoming-a-product-surface/transcript.txt,upstream,b2ebfd4d0ad53ace7119ed21edf847605d8791708aa28434e1470777d2a6eec0,True,37404,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-044,44,Agentic Backpressure Deep Dive,2026-02-10-agentic-backpressure-deep-dive,2026-02-10T18:00:00Z,Zx_GOhGik0o,2026-02-10-agentic-backpressure-deep-dive/transcript.txt,upstream,3eddcf46ee9775c47e577389d25e530e4cdf1550b8fc549c98419facf7016676,True,64263,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-045,45,AI Content Pipeline Revisited,2026-02-17-automating-aitw,2026-02-17T18:00:00Z,U5Gssat8IUw,2026-02-17-automating-aitw/transcript.txt,upstream,5222879aae77058914d0d4024fe1923292ba30a6361310d34bbd8025dbc7765f,True,64000,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-046,46,No Vibes Allowed February,2026-02-24-no-vibes-february,2026-02-24T18:00:00Z,YcT7gjzj2TU,2026-02-24-no-vibes-february/transcript.txt,upstream,bc70c6118711bf8493a7b3fbd4ed70fa827fdab6b2a684faa92cb17903f9b57a,True,62639,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-047,47,PII Redaction and Sensitive Data Scrubbing,2026-03-03-pii-redaction-and-sensitive-data-scrubbing,2026-03-03T18:15:00Z,Ql2gLHWuX7M,2026-03-03-pii-redaction-and-sensitive-data-scrubbing/transcript.txt,upstream,7cba8a99aee8688a46542403066c75fab8ba30b588b782d631fd0297be5b15b5,True,74081,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-048,48,Claude Agent Skills Deep Dive,2026-03-10-claude-agent-skills-deep-dive,2026-03-10T18:00:00Z,b5O6gb_Zuk8,2026-03-10-claude-agent-skills-deep-dive/transcript.txt,upstream,4df0d98dfd38b1956d13db294cbf80fc2a86349a164ab7fa310ae42e351511df,True,76044,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-049,49,Prompt Injections Guardrails,2026-03-17-prompt-injections-guardrails,2026-03-17T18:00:00Z,zU8GpxgYDvc,2026-03-17-prompt-injections-guardrails/transcript.txt,upstream,30b33e37987eda1cae52ddb09eeba4505fb5105347dcf2003a97b0b266ec7316,True,60526,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-050,50,MCP is Dead?,2026-03-24-mcp-is-dead,2026-03-24T18:00:00Z,z5inaSXkiTU,2026-03-24-mcp-is-dead/transcript.txt,upstream,72b194d829a0d4f2890b01527d88d4b4282ddea44b73e3a1333de98c0b0d964e,True,68616,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-051,51,No Vibes Allowed March Edition,2026-03-31-no-vibes-march,2026-03-31T18:00:00Z,0rMG-3iiilc,2026-03-31-no-vibes-march/transcript.txt,upstream,21bdb82e562c8ec8aad49cfa76b0d70466711fed8bcb9df94e6ca0551e4ce67f,True,153187,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-052,52,SSE Streaming,2026-04-07-sse-streaming,2026-04-07T18:00:00Z,9MFiATinGC0,2026-04-07-sse-streaming/transcript.txt,upstream,3c7d71100cc3aaea5d0d72c4ffd8917a7c04e187669244992e3c204d5f17f4a7,True,70625,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
,,unconf sf,2026-04-11-unconf-sf,,,,,,False,0,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-053,53,Agentic Coding for Frontend Apps,2026-04-14-agentic-coding-for-frontend-apps,2026-04-14T18:00:00Z,adpUOpW85ns,2026-04-14-agentic-coding-for-frontend-apps/transcript.txt,upstream,be623235e41d98ff4b279a45e599d37895cefd1a807af9c92354ac463b5b63e8,True,64835,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-054,54,Harness Engineering Without the Hype,2026-04-21-harness-engineering-without-the-hype,2026-04-21T18:00:00Z,gX9WpYY61xA,2026-04-21-harness-engineering-without-the-hype/trasncript.txt,upstream,67ef1d4873047d114a10955427974e88ae6d47d185229a006021067a0333f67e,True,65302,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-055,55,No Vibes Allowed - Building Design Docs with AI,2026-04-28-no-vibes-design-docs,2026-04-28T18:00:00Z,KCqsoXveqiI,2026-04-28-no-vibes-design-docs/transcript.txt,upstream,f1bdb51c7e79f8ba9cdc52008cd967dd9ef002a7af6c205bbc1f5a2efdd91018,True,71712,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-056,56,OpenAI tells you not to build your own harness,2026-05-05-openai-tells-you-not-to-build-your-own-harness,2026-05-05T18:00:00Z,h99bTZTR_IU,2026-05-05-openai-tells-you-not-to-build-your-own-harness/transcript.txt,upstream,db5bbbb6c2eaf35a12888132af231fb27c7dc8d7b6669aecb64d2a4ecf2c336a,True,61365,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-057,57,"""Code Mode"" Deep Dive",2026-05-12-code-mode-deep-dive,2026-05-12T18:00:00Z,0dx3j4CmSFw,2026-05-12-code-mode-deep-dive/transcript.txt,upstream,02592e386d58936ebf093fc391fbd3a8964c04afa61f73129011a1bd945b77c5,True,68568,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-058,58,How AI Agents Can Safely Ship Code to Production,2026-05-19-feature-flag-everything,2026-05-19T18:00:00Z,gRqb7R4Pcrs,2026-05-19-feature-flag-everything/transcript.txt,upstream,25189479eed95c1d6c4eb963e5e876530ce20d885a394fe7d6cd9d9d117f7417,True,42604,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-059,59,No Vibes Allowed: Performance Engineering,2026-05-26-no-vibes-allowed-performance-engineering,2026-05-26T18:00:00Z,mm6n4n09RaU,knowledge/episodes/aitw-059/transcripts/stitched.txt,youtube_captions,ac1ec5d33eb8cf7d120318c6fb47ce0360e266d19626889d069218f4b4aae44c,True,96392,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-060,60,How to Build AI Agents that Work in Any Language,2026-06-02-multilingual-ai-apps,2026-06-02T18:00:00Z,-gFdtc-HbOY,2026-06-02-multilingual-ai-apps/transcript.txt,upstream,291d5d8d560ea7976097a382e07167a46406f5af85c843e5a0685d28a8d9c490,True,66931,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-061,61,Hands-on with Fable 5,2026-06-09-fable-5,2026-06-09T18:00:00Z,hTkmSVuDMPg,2026-06-09-fable-5/transcript.txt,upstream,6699c9483a72056b1a0c71bccb50d0a4434250b9178dbc4650a4a8fd34b4b77e,True,48484,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-062,62,Product Specs with AI,2026-06-16-product-specs-with-ai,2026-06-16T18:00:00Z,0LPBw3NO3Jc,2026-06-16-product-specs-with-ai/transcript.txt,upstream,cd4d816960328190f38b4b2d77c7a8aca928d35bd5adc43cb4b30e767f4ca505,True,63077,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-063,63,Software Factory for Agent Tools,2026-06-23-software-factory-for-agent-tools,2026-06-23T18:00:00Z,485FGIq8LKM,2026-06-23-software-factory-for-agent-tools/transcript.txt,upstream,82e344f4dc1a9f06f51f86cdc276bd686d60c38b7ae3c0423190bec45d21a0bb,True,61884,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-064,64,agent observability,2026-07-07-agent-observability,2026-07-07T18:00:00Z,_WLVv1C6-VM,knowledge/episodes/aitw-064/transcripts/stitched.txt,youtube_captions,87874928512285fdb6d2f233c01f94277b2cfc7fedd7bc5d7ff488aeb0498890,True,80900,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
