guid,episode,title,event_date,youtube_video_id,source_folder,knowledge_readme,claims_file,transcript_path,claim_count
aitw-030,30,Event-driven agentic loops,2025-11-04T18:00:00.000Z,_VB9TT1Vus4,2025-11-05-event-driven-agents,knowledge/episodes/aitw-030/README.md,knowledge/episodes/aitw-030/claims.jsonl,knowledge/episodes/aitw-030/transcripts/stitched.txt,8
aitw-031,31,"Dates, Times, and LLMs",2025-11-11T18:00:00Z,l7txtbgCFGU,2025-11-11-dates-and-times,knowledge/episodes/aitw-031/README.md,knowledge/episodes/aitw-031/claims.jsonl,knowledge/episodes/aitw-031/transcripts/stitched.txt,9
aitw-032,32,Building an Animation Pipeline,2025-11-18T18:00:00Z,WhtT7K5Pkv0,2025-11-18-building-an-animation-pipeline,knowledge/episodes/aitw-032/README.md,knowledge/episodes/aitw-032/claims.jsonl,2025-11-18-building-an-animation-pipeline/transcript.md,6
aitw-033,33,No Vibes Allowed: Using CodeLayer to Build CodeLayer,2025-11-25T18:00:00Z,fF3GssyaTcc,2025-11-25-no-vibes-allowed-using-codelayer-to-build-codelayer,knowledge/episodes/aitw-033/README.md,knowledge/episodes/aitw-033/claims.jsonl,knowledge/episodes/aitw-033/transcripts/stitched.txt,6
aitw-035,35,Multimodal Evals,2025-12-02T17:00:00Z,jzhVo0iAX_I,2025-12-02-multimodal-evals,knowledge/episodes/aitw-035/README.md,knowledge/episodes/aitw-035/claims.jsonl,2025-12-02-multimodal-evals/transcript.md,9
aitw-034,34,Git Worktrees for AI Coding Agents,2025-12-09T18:00:00Z,OpM-G3WNH4g,2025-12-09-git-worktrees,knowledge/episodes/aitw-034/README.md,knowledge/episodes/aitw-034/claims.jsonl,2025-12-09-git-worktrees/transcript.md,9
aitw-036,36,Building a Prompt Optimizer,2025-12-16T18:00:00Z,IkSEXg6f4KY,2025-12-16-prompt-optimizer,knowledge/episodes/aitw-036/README.md,knowledge/episodes/aitw-036/claims.jsonl,2025-12-16-prompt-optimizer/transcript.md,9
aitw-037,37,Founding HumanLayer: Dex's Journey,2025-12-23T18:00:00Z,LEOA19Ss9lc,2025-12-23-founding-humanlayer,knowledge/episodes/aitw-037/README.md,knowledge/episodes/aitw-037/claims.jsonl,2025-12-23-founding-humanlayer/transcript.md,9
aitw-038,38,Founding Boundary: Vaibhav's Journey,2025-12-30T18:00:00Z,4YTl9w_bESE,2025-12-30-founding-boundary,knowledge/episodes/aitw-038/README.md,knowledge/episodes/aitw-038/claims.jsonl,2025-12-30-founding-boundary/transcript.md,9
aitw-039,39,Understanding Latency in AI Applications,2026-01-06T18:00:00Z,wadVIkJnjQE,2026-01-06-latency,knowledge/episodes/aitw-039/README.md,knowledge/episodes/aitw-039/claims.jsonl,2026-01-06-latency/transcript.md,9
aitw-040,40,Applying 12-Factor Principles to Coding Agent SDKs,2026-01-13T18:00:00Z,qgAny0sEdIk,2026-01-13-applying-12-factor-principles-to-coding-agent-sdks,knowledge/episodes/aitw-040/README.md,knowledge/episodes/aitw-040/claims.jsonl,2026-01-13-applying-12-factor-principles-to-coding-agent-sdks/transcript.md,9
aitw-041,41,Email is All You Need,2026-01-20T18:00:00Z,zpfXzk-3Yxw,2026-01-20-email-is-all-you-need,knowledge/episodes/aitw-041/README.md,knowledge/episodes/aitw-041/claims.jsonl,2026-01-20-email-is-all-you-need/transcript.txt,9
aitw-042,42,No Vibes Allowed,2026-01-27T18:00:00Z,Xq8VxnGVStg,2026-01-27-no-vibes-allowed,knowledge/episodes/aitw-042/README.md,knowledge/episodes/aitw-042/claims.jsonl,2026-01-27-no-vibes-allowed/transcript.txt,6
aitw-043,43,Prompting Is Becoming a Product Surface,2026-02-03T18:00:00Z,qdfwmYTO0Aw,2026-02-03-prompting-is-becoming-a-product-surface,knowledge/episodes/aitw-043/README.md,knowledge/episodes/aitw-043/claims.jsonl,2026-02-03-prompting-is-becoming-a-product-surface/transcript.txt,7
aitw-044,44,Agentic Backpressure Deep Dive,2026-02-10T18:00:00Z,Zx_GOhGik0o,2026-02-10-agentic-backpressure-deep-dive,knowledge/episodes/aitw-044/README.md,knowledge/episodes/aitw-044/claims.jsonl,2026-02-10-agentic-backpressure-deep-dive/transcript.txt,6
aitw-045,45,AI Content Pipeline Revisited,2026-02-17T18:00:00Z,U5Gssat8IUw,2026-02-17-automating-aitw,knowledge/episodes/aitw-045/README.md,knowledge/episodes/aitw-045/claims.jsonl,2026-02-17-automating-aitw/transcript.txt,6
aitw-046,46,No Vibes Allowed February,2026-02-24T18:00:00Z,YcT7gjzj2TU,2026-02-24-no-vibes-february,knowledge/episodes/aitw-046/README.md,knowledge/episodes/aitw-046/claims.jsonl,2026-02-24-no-vibes-february/transcript.txt,6
aitw-047,47,PII Redaction and Sensitive Data Scrubbing,2026-03-03T18:15:00Z,Ql2gLHWuX7M,2026-03-03-pii-redaction-and-sensitive-data-scrubbing,knowledge/episodes/aitw-047/README.md,knowledge/episodes/aitw-047/claims.jsonl,2026-03-03-pii-redaction-and-sensitive-data-scrubbing/transcript.txt,6
aitw-048,48,Claude Agent Skills Deep Dive,2026-03-10T18:00:00Z,b5O6gb_Zuk8,2026-03-10-claude-agent-skills-deep-dive,knowledge/episodes/aitw-048/README.md,knowledge/episodes/aitw-048/claims.jsonl,2026-03-10-claude-agent-skills-deep-dive/transcript.txt,6
aitw-049,49,Prompt Injections and Guardrails,2026-03-17T18:00:00Z,zU8GpxgYDvc,2026-03-17-prompt-injections-guardrails,knowledge/episodes/aitw-049/README.md,knowledge/episodes/aitw-049/claims.jsonl,2026-03-17-prompt-injections-guardrails/transcript.txt,6
aitw-050,50,MCP is Dead?,2026-03-24T18:00:00Z,z5inaSXkiTU,2026-03-24-mcp-is-dead,knowledge/episodes/aitw-050/README.md,knowledge/episodes/aitw-050/claims.jsonl,2026-03-24-mcp-is-dead/transcript.txt,6
aitw-051,51,No Vibes Allowed March Edition,2026-03-31T18:00:00Z,0rMG-3iiilc,2026-03-31-no-vibes-march,knowledge/episodes/aitw-051/README.md,knowledge/episodes/aitw-051/claims.jsonl,2026-03-31-no-vibes-march/transcript.txt,6
aitw-052,52,SSE Streaming,2026-04-07T18:00:00Z,9MFiATinGC0,2026-04-07-sse-streaming,knowledge/episodes/aitw-052/README.md,knowledge/episodes/aitw-052/claims.jsonl,2026-04-07-sse-streaming/transcript.txt,6
aitw-053,53,Agentic Coding for Frontend Apps,2026-04-14T18:00:00Z,adpUOpW85ns,2026-04-14-agentic-coding-for-frontend-apps,knowledge/episodes/aitw-053/README.md,knowledge/episodes/aitw-053/claims.jsonl,2026-04-14-agentic-coding-for-frontend-apps/transcript.txt,6
aitw-054,54,Harness Engineering Without the Hype,2026-04-21T18:00:00Z,gX9WpYY61xA,2026-04-21-harness-engineering-without-the-hype,knowledge/episodes/aitw-054/README.md,knowledge/episodes/aitw-054/claims.jsonl,2026-04-21-harness-engineering-without-the-hype/trasncript.txt,6
aitw-055,55,No Vibes Allowed: Building Design Docs with AI,2026-04-28T18:00:00Z,KCqsoXveqiI,2026-04-28-no-vibes-design-docs,knowledge/episodes/aitw-055/README.md,knowledge/episodes/aitw-055/claims.jsonl,2026-04-28-no-vibes-design-docs/transcript.txt,7
aitw-056,56,OpenAI Tells You Not to Build Your Own Harness,2026-05-05T18:00:00Z,h99bTZTR_IU,2026-05-05-openai-tells-you-not-to-build-your-own-harness,knowledge/episodes/aitw-056/README.md,knowledge/episodes/aitw-056/claims.jsonl,2026-05-05-openai-tells-you-not-to-build-your-own-harness/transcript.txt,6
aitw-057,57,Code Mode Deep Dive,2026-05-12T18:00:00Z,0dx3j4CmSFw,2026-05-12-code-mode-deep-dive,knowledge/episodes/aitw-057/README.md,knowledge/episodes/aitw-057/claims.jsonl,2026-05-12-code-mode-deep-dive/transcript.txt,7
aitw-058,58,How AI Agents Can Safely Ship Code to Production,2026-05-19T18:00:00Z,gRqb7R4Pcrs,2026-05-19-feature-flag-everything,knowledge/episodes/aitw-058/README.md,knowledge/episodes/aitw-058/claims.jsonl,2026-05-19-feature-flag-everything/transcript.txt,6
aitw-059,59,No Vibes Allowed: Performance Engineering,2026-05-26T18:00:00Z,mm6n4n09RaU,2026-05-26-no-vibes-allowed-performance-engineering,knowledge/episodes/aitw-059/README.md,knowledge/episodes/aitw-059/claims.jsonl,knowledge/episodes/aitw-059/transcripts/stitched.txt,6
aitw-060,60,How to Build AI Agents that Work in Any Language,2026-06-02T18:00:00Z,-gFdtc-HbOY,2026-06-02-multilingual-ai-apps,knowledge/episodes/aitw-060/README.md,knowledge/episodes/aitw-060/claims.jsonl,2026-06-02-multilingual-ai-apps/transcript.txt,8
aitw-061,61,Hands-on with Fable 5,2026-06-09T18:00:00Z,hTkmSVuDMPg,2026-06-09-fable-5,knowledge/episodes/aitw-061/README.md,knowledge/episodes/aitw-061/claims.jsonl,2026-06-09-fable-5/transcript.txt,7
aitw-062,62,Product Specs with AI,2026-06-16T18:00:00Z,0LPBw3NO3Jc,2026-06-16-product-specs-with-ai,knowledge/episodes/aitw-062/README.md,knowledge/episodes/aitw-062/claims.jsonl,2026-06-16-product-specs-with-ai/transcript.txt,8
aitw-063,63,Software Factory for Agent Tools,2026-06-23T18:00:00Z,485FGIq8LKM,2026-06-23-software-factory-for-agent-tools,knowledge/episodes/aitw-063/README.md,knowledge/episodes/aitw-063/claims.jsonl,2026-06-23-software-factory-for-agent-tools/transcript.txt,9
aitw-064,64,Agent Observability,2026-07-07T18:00:00Z,_WLVv1C6-VM,2026-07-07-agent-observability,knowledge/episodes/aitw-064/README.md,knowledge/episodes/aitw-064/claims.jsonl,knowledge/episodes/aitw-064/transcripts/stitched.txt,9
